"id","suburb","street_code","postal_code","city","province","created_at","updated_at"
"1","AALWYNFLEUR","6670","0","RIVERSDALE","Western Cape","2021-05-18 04:30:57","2021-05-18 04:30:57"
"2","AANDRUS","9301","0","BLOEMFONTEIN","Free State","2021-05-18 04:30:57","2021-05-18 04:30:57"
"3","ABAPHEHLI","0","4126","DOONSIDE","Kwazulu Natal","2021-05-18 04:30:57","2021-05-18 04:30:57"
"4","ABBOTSDALE","7300","0","MALMESBURY","Western Cape","2021-05-18 04:30:57","2021-05-18 04:30:57"
"5","ABBOTSFORD","2192","0","JOHANNESBURG","Gauteng","2021-05-18 04:30:58","2021-05-18 04:30:58"
"6","ABBOTSFORD","5241","0","EAST LONDON","Eastern Cape","2021-05-18 04:30:58","2021-05-18 04:30:58"
"7","ABBOTSPOORT","0","608","POTGIETERSRUS","Limpopo","2021-05-18 04:30:58","2021-05-18 04:30:58"
"8","ABC","6242","0","ABC","Eastern Cape","2021-05-18 04:30:58","2021-05-18 04:30:58"
"9","ABEL","0","884","POLOKWANE","Limpopo","2021-05-18 04:30:58","2021-05-18 04:30:58"
"10","ABERDEEN","6270","6270","ABERDEEN","Eastern Cape","2021-05-18 04:30:58","2021-05-18 04:30:58"
"11","ABERDEEN DGD","6270","0","ABERDEEN","Eastern Cape","2021-05-18 04:30:58","2021-05-18 04:30:58"
"12","ABERDEEN TSP","6270","0","ABERDEEN","Eastern Cape","2021-05-18 04:30:58","2021-05-18 04:30:58"
"13","ACACIAVILLE","0","3370","LADYSMITH","Kwazulu Natal","2021-05-18 04:30:58","2021-05-18 04:30:58"
"14","ACKERVILLE","1039","1039","WITBANK","Mpumalanga","2021-05-18 04:30:58","2021-05-18 04:30:58"
"15","ACORN","3610","0","ACORN","Kwazulu Natal","2021-05-18 04:30:59","2021-05-18 04:30:59"
"16","ACORNHOEK","0","1360","NELSPRUIT","Mpumalanga","2021-05-18 04:30:59","2021-05-18 04:30:59"
"17","ACTIVIA PARK","1429","0","GERMISTON","Gauteng","2021-05-18 04:30:59","2021-05-18 04:30:59"
"18","ACTON CABA","0","5401","TSOMO","Eastern Cape","2021-05-18 04:30:59","2021-05-18 04:30:59"
"19","ACTON HOMES","0","3352","BERGVILLE","Kwazulu Natal","2021-05-18 04:30:59","2021-05-18 04:30:59"
"20","ACTONVILLE","1501","1506","BENONI","Gauteng","2021-05-18 04:30:59","2021-05-18 04:30:59"
"21","ACTONVILLE EXT 2","1501","0","BENONI","Gauteng","2021-05-18 04:30:59","2021-05-18 04:30:59"
"22","ACTONVILLE EXT 3","1501","0","BENONI","Gauteng","2021-05-18 04:30:59","2021-05-18 04:30:59"
"23","ACTONVILLE EXT 4","1501","0","BENONI","Gauteng","2021-05-18 04:30:59","2021-05-18 04:30:59"
"24","ACTONVILLE EXT 5","1501","0","BENONI","Gauteng","2021-05-18 04:30:59","2021-05-18 04:30:59"
"25","ACTONVILLE EXT 2","1501","0","BENONI","Gauteng","2021-05-18 04:31:00","2021-05-18 04:50:26"
"26","ACTONVILLE EXT 3","1501","0","BENONI","Gauteng","2021-05-18 04:31:00","2021-05-18 04:50:27"
"27","ACTONVILLE EXT 4","1501","0","BENONI","Gauteng","2021-05-18 04:31:00","2021-05-18 04:50:27"
"28","ACTONVILLE EXT 5","1501","0","BENONI","Gauteng","2021-05-18 04:31:00","2021-05-18 04:50:27"
"29","ADAMAYVIEW","2571","0","KLERKSDORP","North West Province","2021-05-18 04:31:00","2021-05-18 04:31:00"
"30","ADAMS MISSION","0","4100","AMANZIMTOTI","Kwazulu Natal","2021-05-18 04:31:00","2021-05-18 04:31:00"
"31","ADCOCK VALE","6001","0","PORT ELIZABETH","Eastern Cape","2021-05-18 04:31:00","2021-05-18 04:31:00"
"32","ADCOCK VALE EXT","6045","0","NEWTON PARK","Eastern Cape","2021-05-18 04:31:00","2021-05-18 04:31:00"
"33","ADCOCK VALE EXT","6045","0","NEWTON PARK","Eastern Cape","2021-05-18 04:31:00","2021-05-18 04:50:27"
"34","ADDINGTON","4001","0","DURBAN","Kwazulu Natal","2021-05-18 04:31:00","2021-05-18 04:31:00"
"35","ADDNEY","0","712","POLOKWANE","Limpopo","2021-05-18 04:31:01","2021-05-18 04:31:01"
"36","ADDO","6105","6105","ADDO","Eastern Cape","2021-05-18 04:31:01","2021-05-18 04:31:01"
"37","ADELAIDE","5760","5760","ADELAIDE","Eastern Cape","2021-05-18 04:31:01","2021-05-18 04:31:01"
"38","ADENDORP","6282","6282","ADENDORP","Eastern Cape","2021-05-18 04:31:01","2021-05-18 04:31:01"
"39","ADKIN'S POST","0","5170","TSOLO","Eastern Cape","2021-05-18 04:31:01","2021-05-18 04:31:01"
"40","ADMINISTRATION BLOCK","1431","0","KATLEHONG","Gauteng","2021-05-18 04:31:01","2021-05-18 04:31:01"
"41","ADMIRALS HILL","7798","0","STRANDFONTEIN","Western Cape","2021-05-18 04:31:01","2021-05-18 04:31:01"
"42","ADRIAANSE","7490","0","MATROOSFONTEIN","Western Cape","2021-05-18 04:31:01","2021-05-18 04:31:01"
"43","ADVENT","5092","5092","MOUNT FRERE","Eastern Cape","2021-05-18 04:31:01","2021-05-18 04:31:01"
"44","AERORAND","1055","1070","MIDDELBURG","Mpumalanga","2021-05-18 04:31:01","2021-05-18 04:31:01"
"45","AEROTON","2190","2013","JOHANNESBURG","Gauteng","2021-05-18 04:31:01","2021-05-18 04:31:01"
"46","AEROVILLE","5850","0","SOMERSET EAST","Eastern Cape","2021-05-18 04:31:02","2021-05-18 04:31:02"
"47","AFGUNS","534","534","ELLISRAS","Limpopo","2021-05-18 04:31:02","2021-05-18 04:31:02"
"48","AFRICA","4309","4310","INANDA","Kwazulu Natal","2021-05-18 04:31:02","2021-05-18 04:31:02"
"49","AFRICAN ENTERPRISE","0","3294","PIETERMARITZBURG","Kwazulu Natal","2021-05-18 04:31:02","2021-05-18 04:31:02"
"50","AGAVIA","1739","0","KRUGERSDORP","Gauteng","2021-05-18 04:31:02","2021-05-18 04:31:02"
"51","AGGENEYS","0","8893","SPRINGBOK","Nothern Cape","2021-05-18 04:31:02","2021-05-18 04:31:02"
"52","AGINCOURT","0","1368","XIMHUNGWE","Mpumalanga","2021-05-18 04:31:02","2021-05-18 04:31:02"
"53","AGISANANG","2760","2760","SANNIESHOF","North West Province","2021-05-18 04:31:02","2021-05-18 04:31:02"
"54","AGNES REST","0","5435","DORDRECHT","Eastern Cape","2021-05-18 04:31:02","2021-05-18 04:31:02"
"55","AGTER PAARL","0","7630","PAARL","Western Cape","2021-05-18 04:31:03","2021-05-18 04:31:03"
"56","AIKEN STREET","0","4251","PORT SHEPSTONE","Kwazulu Natal","2021-05-18 04:31:04","2021-05-18 04:31:04"
"57","AIKENSTRAAT","0","4251","PORT SHEPSTONE","Kwazulu Natal","2021-05-18 04:31:04","2021-05-18 04:31:04"
